2018-06-05 22:15:03.488977     | final:v2             | running    |  287.96 | #1 | running    | 1.5%  |    9.77 | #2 | running    | 0.7%  |    0.00 | #3 | running    | 1.2%  | 1229.51 | #4 | running    | 0.6%  |    0.00 | #5 | running    | 0.6%  |  200.54
2018-06-06 04:50:03.595605     | final:v2             | running    | 3688.87 | #1 | running    | 82.6% | 7541.26 | #2 | running    | 81.5% | 3556.49 | #3 | running    | 85.1% | 2508.26 | #4 | running    | 84.8% | 2021.77 | #5 | running    | 81.9% | 2816.55
2018-06-06 04:55:03.307991     | final:v2             | running    | 3698.61 | #1 | running    | 84.1% | 7545.83 | #2 | running    | 82.6% | 3579.37 | #3 | running    | 86.0% | 2512.46 | #4 | running    | 86.1% | 2024.75 | #5 | running    | 83.1% | 2830.63
2018-06-06 05:00:02.926332     | final:v2             | running    | 3720.04 | #1 | running    | 85.2% | 7549.56 | #2 | running    | 83.6% | 3666.50 | #3 | running    | 87.2% | 2518.31 | #4 | running    | 87.0% | 2026.71 | #5 | running    | 83.7% | 2839.11
2018-06-06 05:05:03.778503     | final:v2             | running    | 3745.02 | #1 | running    | 86.2% | 7554.54 | #2 | running    | 84.5% | 3762.30 | #3 | running    | 88.4% | 2524.78 | #4 | running    | 87.9% | 2027.50 | #5 | running    | 85.0% | 2856.00
2018-06-06 05:10:03.399323     | final:v2             | running    | 3770.37 | #1 | running    | 87.3% | 7560.44 | #2 | running    | 85.5% | 3853.43 | #3 | running    | 89.4% | 2540.45 | #4 | running    | 89.3% | 2028.09 | #5 | running    | 86.2% | 2869.44
2018-06-06 05:15:03.053949     | final:v2             | running    | 3793.87 | #1 | running    | 88.4% | 7566.40 | #2 | running    | 86.6% | 3945.24 | #3 | running    | 90.2% | 2546.86 | #4 | running    | 90.2% | 2033.15 | #5 | running    | 86.8% | 2877.72
2018-06-06 05:20:02.739146     | final:v2             | running    | 3817.39 | #1 | running    | 89.2% | 7568.79 | #2 | running    | 87.6% | 4024.39 | #3 | running    | 91.3% | 2554.51 | #4 | running    | 91.4% | 2047.38 | #5 | running    | 88.1% | 2891.87
2018-06-06 05:25:03.502676     | final:v2             | running    | 3834.35 | #1 | running    | 90.5% | 7574.66 | #2 | running    | 88.6% | 4091.46 | #3 | running    | 92.5% | 2559.85 | #4 | running    | 92.3% | 2046.94 | #5 | running    | 88.8% | 2898.87
2018-06-06 05:30:03.250469     | final:v2             | running    | 3853.73 | #1 | running    | 91.6% | 7579.10 | #2 | running    | 89.7% | 4151.35 | #3 | running    | 93.6% | 2574.81 | #4 | running    | 93.6% | 2049.95 | #5 | running    | 90.1% | 2913.44
2018-06-06 05:35:02.970981     | final:v2             | running    | 3871.30 | #1 | running    | 92.6% | 7583.41 | #2 | running    | 90.6% | 4210.73 | #3 | running    | 94.8% | 2585.08 | #4 | running    | 94.6% | 2050.16 | #5 | running    | 91.4% | 2927.10
2018-06-06 05:40:02.610413     | final:v2             | running    | 3887.18 | #1 | running    | 93.7% | 7591.06 | #2 | running    | 91.6% | 4268.81 | #3 | running    | 95.7% | 2590.26 | #4 | running    | 95.5% | 2053.35 | #5 | running    | 92.0% | 2932.43
2018-06-06 05:45:03.392156     | final:v2             | running    | 3900.40 | #1 | running    | 94.8% | 7594.42 | #2 | running    | 92.7% | 4317.97 | #3 | running    | 96.8% | 2592.59 | #4 | running    | 96.8% | 2058.67 | #5 | running    | 92.7% | 2938.35
2018-06-06 05:50:03.149347     | final:v2             | running    | 3914.12 | #1 | running    | 95.5% | 7598.56 | #2 | running    | 93.6% | 4360.98 | #3 | running    | 97.9% | 2599.20 | #4 | running    | 97.7% | 2060.22 | #5 | running    | 94.1% | 2951.65
2018-06-06 05:55:02.841767     | final:v2             | running    | 3930.24 | #1 | running    | 97.0% | 7602.00 | #2 | running    | 94.7% | 4418.30 | #3 | running    | 98.9% | 2610.95 | #4 | running    | 98.6% | 2061.59 | #5 | running    | 94.8% | 2958.34
2018-06-06 06:00:03.574825     | final:v2             | running    | 3944.85 | #1 | running    | 98.0% | 7605.98 | #2 | running    | 95.7% | 4459.71 | #3 | finished   |       | 2624.08 | #4 | running    | 99.5% | 2065.13 | #5 | running    | 96.2% | 2969.35
2018-06-06 06:05:03.264570     | final:v2             | running    | 3956.56 | #1 | running    | 99.0% | 7607.68 | #2 | running    | 96.7% | 4507.31 | #3 | finished   |       | 2624.08 | #4 | finished   |       | 2067.41 | #5 | running    | 96.9% | 2976.30
2018-06-06 06:10:02.885272     | final:v2             | running    | 3967.58 | #1 | finished   |       | 7610.17 | #2 | running    | 97.7% | 4548.68 | #3 | finished   |       | 2624.08 | #4 | finished   |       | 2067.41 | #5 | running    | 98.4% | 2987.55
2018-06-06 06:15:03.540839     | final:v2             | running    | 3975.67 | #1 | finished   |       | 7610.17 | #2 | running    | 98.6% | 4583.56 | #3 | finished   |       | 2624.08 | #4 | finished   |       | 2067.41 | #5 | running    | 99.1% | 2993.12
2018-06-06 06:20:03.189767     | final:v2             | running    | 3983.52 | #1 | finished   |       | 7610.17 | #2 | running    | 99.7% | 4616.41 | #3 | finished   |       | 2624.08 | #4 | finished   |       | 2067.41 | #5 | finished   |       | 2999.50
